,0,1
4035,ngaku,mengaku
4036,pengikuy,pengikut
4037,tp,tapi
4038,ngmngin,mengomongkan
4039,dr,dari
4040,yg,yang
4041,dmn,dimana
4042,tuch,tuh
4043,u,untuk
4044,org,orang
4045,yg,yang
4046,ngmngin,mengomongkan
4047,gak,enggak
4048,dr,dari
4049,gak,enggak
4050,jgn,jangan
4051,dapet,dapat
4052,sblmnya,sebelumnya
4053,mba,mbak
4054,maksd,maksud
4055,bner,benar
4056,tp,tapi
4057,dr,dari
4058,yg,yang
4059,masing2,masing-masing
4060,adkah,adakah
4061,yg,yang
4062,menbelah,membelah
4063,yg,yang
4064,karna,karena
4065,mba,mbak
4066,ayuk,ayo
4067,yg,yang
4068,mngira,mengira
4069,bertolernsi,bertoleransi
4070,slahkan,salahkan
4071,krna,karena
4072,tolernsi,toleransi
4073,aminn,amin
4074,yg,yang
4075,tdk,tidak
4076,tu,itu
4077,tdk,tidak
4078,yg,yang
4079,dgn,dengan
4080,dgn,dengan
4081,yg,yang
4082,yg,yang
4083,tdk,tidak
4084,yg,yang
4085,skrang,sekarang
4086,sbnarnya,sebenarnya
4087,ingi,ingin
4088,dlm,dalam
4089,dah,deh
4090,oalaaaa,walah
4091,menjelekan,menjelekkan
4092,hadeuuh,aduh
4093,ngomong,mengomong
4094,aja,saja
4095,dikemanain,dikemanakan
4096,pake,pakai
4097,aja,saja
4098,gk,enggak
4099,yg,yang
4100,aneh2,aneh-aneh
4101,km,kamu
4102,gmn,bagaimana
4103,ngak,enggak
4104,yg,yang
4105,ato,atau
4106,yg,yang
4107,jg,juga
4108,trus,terus
4109,jg,juga
4110,bpknya,bapaknya
4111,yg,yang
4112,dgn,dengan
4113,jd,jadi
4114,yg,yang
4115,yg,yang
4116,yg,yang
4117,yg,yang
4118,yg,yang
4119,adlh,adalah
4120,dlm,dalam
4121,tdk,tidak
4122,baca2,baca-baca
4123,ga,enggak
4124,yg,yang
4125,dgn,dengan
4126,lbh,lebih
4127,hrsnya,harusnya
4128,jwb,jawab
4129,sy,saya
4130,dgn,dengan
4131,bkn,bukan
4132,tp,tapi
4133,tdk,tidak
4134,sy,saya
4135,yg,yang
4136,mrk,mereka
4137,yg,yang
4138,gk,enggak
4139,mrk,mereka
4140,adlh,adalah
4141,bkn,bukan
4142,cm,cuma
4143,tp,tapi
4144,jg,juga
4145,org,orang
4146,bs,bisa
4147,kl,kalo
4148,tdk,tidak
4149,tdk,tidak
4150,lbh,lebih
4151,dgn,dengan
4152,tdk,tidak
4153,yg,yang
4154,mba,mbak
4155,tp,tapi
4156,komen2,komen-komen
4157,yg,yang
4158,dgn,dengan
4159,berbeda2,berbeda-beda
4160,pdhl,padahal
4161,dlm,dalam
4162,yg,yang
4163,adlh,adalah
4164,adlh,adalah
4165,yg,yang
4166,kpd,kepada
4167,tdk,tidak
4168,sbg,sebagai
4169,utk,untuk
4170,dr,dari
4171,ga,enggak
4172,yg,yang
4173,sebelum2nya,sebelum-sebelumnya
4174,sbagai,sebagai
4175,masing2,masing-masing
4176,amiin,amin
4177,sedihh,sedih
4178,ka,kak
4179,kangennnn,kangen
4180,smga,semoga
4181,d,di
4182,gndakan,gandakan
4183,kk,kakak
4184,kangeeeeeeeenya,kangen
4185,sm,sama
4186,k,kak
4187,bgt,banget
4188,yg,yang
4189,kngen,kangen
4190,bgtt,banget
4191,sma,sama
4192,gaa,enggak
4193,akn,akan
4194,yg,yang
4195,ganti'kn,menggantikan
4196,smg,semoga
4197,tnang,tenang
4198,amiiiiiiiiiiiiiiiiin,amin
4199,sma,sama
4200,kangennnn,kangen
4201,kgeeeen,kangen
4202,kangeenn,kangen
4203,kangennn,kangen
4204,bangeeeet,banget
4205,smoga,semoga
4206,tnang,tenang
4207,kgn,kangen
4208,hdup,hidup
4209,g,enggak
4210,bsok,besok
4211,hbis,habis
4212,mti,mati
4213,g,enggak
4214,bngetttt,banget
4215,kangeen,kangen
4216,bgect,banget
4217,bangat,banget
4218,dgn,dengan
4219,ama,sama
4220,yah,ya
4221,ajah,saja
4222,aja,saja
4223,ajah,saja
4224,fto,foto
4225,ni,ini
4226,"kebaikan""y",kebaikannya
4227,d,di
4228,trima,terima
4229,smoga,semoga
4230,jg,juga
4231,d,di
4232,dssi,disisi
4233,kngenn,kangen
4234,bngett,banget
4235,kebayang,terbayang
4236,yg,yang
4237,yg,yang
4238,kangeeeeennn,kangen
4239,pengen,pengin
4240,dgr,dengar
4241,lagii,lagi
4242,dasyat,dahsyat
4243,ngak,enggak
4244,karna,karena
4245,ngak,enggak
4246,ni,nih
4247,aer,air
4248,bgni,begini
4249,kk,kakak
4250,sya,saya
4251,pake,pakai
4252,skalii,sekali
4253,kngen,kangen
4254,kk,kakak
4255,ama,sama
4256,org,orang
4257,yg,yang
4258,spt,seperti
4259,alm,almarhum
4260,gg,enggak
4261,dtinggl,ditinggal
4262,kk,kakak
4263,terbaiiikkkkk,terbaik
4264,murahhh,murah
4265,pecahhg,pecah
4266,ihh,ih
4267,skrang,sekarang
4268,yahh,ya
4269,gini,begini
4270,kaka,kakak
4271,kakakgh,kakak
4272,terbaeeeek,terbaik
4273,bet,banget
4274,pngen,pengin
4275,emg,memang
4276,prempuan,perempuan
4277,pengen,pengin
4278,udah,sudah
4279,manteep,mantap
4280,wihh,wih
4281,gk,enggak
4282,yg,yang
4283,ngerii,ngeri
4284,bangettt,banget
4285,dehh,deh
4286,makasih,terima kasih
4287,yg,yang
4288,nggeh,engah
4289,indonesiaaa,indonesia
4290,makasih,terima kasih
4291,beneran,benaran
4292,inia,ini
4293,ap,apa
4294,maluu,malu
4295,sempet,sempat
4296,karna,karena
4297,gk,enggak
4298,cobaaaa,coba
4299,ngerii,ngeri
4300,bangett,banget
4301,dehhh,deh
4302,gak,enggak
4303,akn,akan
4304,nyesel,menyesal
4305,cepetan,cepatan
4306,ga,enggak
4307,nyesel,menyesal
4308,udah,sudah
4309,buktiin,membuktikan
4310,yg,yang
4311,ntapsss,mantap
4312,njir,anjir
4313,kamiiii,kami
4314,yg,yang
4315,bgttt,banget
4316,sll,selalu
4317,smangat,semangat
4318,mb,mbak
4319,bc,baca
4320,makasih,terima kasih
4321,byk,banyak
4322,temen2,teman-teman
4323,yg,yang
4324,yaa,ya
4325,byk,banyak
4326,yg,yang
4327,syg,sayang
4328,aq,aku
4329,qmu,kamu
4330,aq,aku
4331,jdi,jadi
4332,tw,tau
4333,gimana,bagaimana
4334,sdkit2,sedikit-sedikit
4335,tntg,tentang
4336,penyakitny,penyakitnya
4337,gak,enggak
4338,da,ada
4339,yg,yang
4340,gak,enggak
4341,mgkin,mungkin
4342,yg,yang
4343,qmu,kamu
4344,slalu,selalu
4345,slalu,selalu
4346,ngajarin,mengajari
4347,tntg,tentang
4348,pa,apa
4349,krn,karena
4350,smakin,semakin
4351,qmu,kamu
4352,dy,dia
4353,spt,seperti
4354,laenny,lainnya
4355,jga,juga
4356,dri,dari
4357,laenny,lainnya
4358,jga,juga
4359,jga,juga
4360,yach,ya
4361,smoga,semoga
4362,bsa,bisa
4363,dapet,dapat
4364,amiinnn,amin
4365,scpatny,secepatnya
4366,trus,terus
4367,yach,ya
4368,bwt,buat
4369,sampein,sampaikan
4370,bwt,buat
4371,yach,ya
4372,smoga,semoga
4373,slalu,selalu
4374,jdi,jadi
4375,yg,yang
