,0,1
0,&,dan
1,+,tambah
2,/,atau
3,=,sama dengan
4,ababil,anak ingusan
5,abal2,palsu
6,abal,palsu
7,ad,ada
8,akooh,aku
9,alay,norak
10,albm,album
11,ampe,sampai
12,anjir,waw
13,anyway,ngomong-ngomong
14,aq,aku
15,asap,secepatnya
16,ato,atau
17,atw,atau
18,ava,foto profil
19,baget,keras kepala
20,baper,bawa perasaan
21,bapuk,rusak
22,bcr,bicara
23,bebeb,pacar
24,begin,awal
25,bejibun,bertumpuk banyak
26,bener,benar
27,ber2,berdua
28,ber3,bertiga
29,better,lebih baik
30,bf,pacar
31,bgt,banget
32,bhas,bahas
33,bhg,bahagia
34,bikin,buat
35,binggo,banget
36,bingit,banget
37,bklan,bakalan
38,bkn,bukan
39,blg,bilang
40,bnr,benar
41,bnyk,banyak
42,br,baru
43,brb,akan segera kembali
44,brjaya,berjaya
45,bs,bisa
46,bsk,besok
47,btw,ngomong-ngomong
48,cm,cuma
49,cmiiw,koreksi saya
50,cnt,cinta
51,congrats,selamat
52,crop,potong
53,cya,sampai jumpa lagi
54,d,di
55,da,ada
56,dafuk,kurang ajar
57,damat,tidak peduli
58,dempa,demi apa
59,dgn,dengan
60,dkt,dekat
61,dlm,dalam
62,dlu,dulu
63,dmn,dimana
64,dpt,dapat
65,dr,dari
66,drpd,daripada
67,dsna,disana
68,dugem,dunia gemerlap
69,elo,kamu
70,elu,kamu
71,emg,memang
72,epsd,episode
73,fake,falsu
74,fans,penggemar
75,fans,penggemar
76,faq,pertanyaan umum
77,fham,paham
78,fhm,paham
79,fix,pasti
80,ft,foto
81,fyi,asal tahu saja
82,g,tidak
83,ga,tidak
84,gaada,tidak ada
85,gabut,gaji buta
86,gada,tidak ada
87,gajebo,tidak jelas
88,gak,tidak
89,galau,bimbang
90,garing,hambar
91,gatau,tidak tahu
92,geje,tidak jelas
93,gengges,ganggu
94,gf,pacar
95,ggl,gagal
96,gk,tidak
97,gmn,bagaimana
98,gmpng,gampang
99,gogon,go internasional
100,gokil,gila
101,gpp,tidak apa-apa
102,grammar,tata bahasa
103,gt,gitu
104,gue,aku
105,gw,aku
106,gw,aku
107,hacep,pesta pora
108,hater,pembenci
109,haters,pembenci
110,hdp,hidup
111,hdr,hadir
112,hit,terpopuler
113,hits,terkini
114,hoax,palsu
115,ig,instagram
116,indo,indonesia
117,iow,dengan kata lain
118,ipon,iphone
119,jd,jadi
120,jdi,jadi
121,jdnya,jadinya
122,jg,juga
123,jgan,jangan
124,jgn,jangan
125,jl,jalan
126,jln,jalan
127,jls,jelas
128,jutek,galak
129,kamseupay,kampungan
130,karn,karena
131,kbr,kabar
132,kca,kaca
133,keknya,kayaknya
134,keles,kali
135,keleus,kali
136,kepo,penasaran
137,kgk,kagak
138,kicep,diam
139,kipak,bohong
140,kk,kakak
141,kl,kalau
142,klo,kalau
143,klon,duplikat
144,klrg,keluarga
145,klu,kalau
146,km,kamu
147,kmn,kemana
148,kmrn,kemarin
149,kn,kan
150,knp,kenapa
151,kongkow,kumpul-kumpul
152,kpd,kepada
153,kpn,kapan
154,krn,karena
155,krna,karena
156,ktny,katanya
157,kumkeb,kumpul kebo
158,kyk,kayak
159,kzl,kesal
160,lebay,berlebihan
161,lebeh,berlebihan
162,lg,lagi
163,lgs,langsung
164,liat,lihat
165,lnjut,lanjut
166,lo,kamu
167,lol,tertawa
168,love,cinta
169,lwt,lewat
170,maaci,terima kasih
171,mabok,mabuk
172,mager,malas gerak
173,maharani,mahal
174,maho,homoseksual
175,mainstream,sangat umum
176,males,malas
177,mcm,macam
178,mehong,mahal
179,meneketehe,tidak tahu
180,menel,centil
181,mgkn,mungkin
182,mimin,admin
183,minn,admin
184,mkn,makan
185,mksd,maksud
186,mlm,malam
187,mlm,malam
188,mls,malas
189,mmg,memang
190,modus,maksud lain
191,mrk,mereka
192,mrka,mereka
193,much,lebih
194,mure,murah
195,mw,mau
196,n,dan
197,ngeh,paham
198,ngeuh,paham
199,nggak,tidak
200,nggu,menunggu
201,ngk,tidak
202,nic,penggemar agnezmo
203,nice,bagus
204,nicong,penggemar agnezmo
205,nmr,nomor
206,nongkrong,kumpul-kumpul
207,ntn,nonton
208,nyungsep,jatuh
209,official,resmi
210,olh,oleh
211,or,atau
212,org,orang
213,pa,apa
214,pake,pakai
215,palbis,paling bisa
216,pcr,pacar
217,pcran,pacaran
218,pd,pada
219,pdhal,padahal
220,peres,palsu
221,pg,pagi
222,pgg,pegang
223,php,pemberi harapan palsu
224,pk,pakai
225,plg,pulang
226,pls,tolong
227,pnh,pernah
228,pntg,penting
229,pny,punya
230,prasmul,perasaan saja
231,prcya,percaya
232,prnh,pernah
233,pst,pesat
234,recokin,ganggu
235,rempong,repot
236,ri,republik indonesia
237,rotfl,tertawa
238,sabeb,bebas
239,schedule,jadwal
240,sdh,sudah
241,sdh,sudah
242,selow,santai
243,sgt,sangat
244,sgt,sangat
245,sgtu,segitu
246,sgtuny,segitunya
247,sh,masih
248,sjjurny,sejujurnya
249,skali,sekali
250,skrg,sekarang
251,slh,salah
252,sll,selalu
253,sm,sama
254,smg,semoga
255,smga,semoga
256,smw,semua
257,smwnya,semuanya
258,stage,panggung
259,stj,setuju
260,stuju,setuju
261,sy,saya
262,sya,saya
263,syg,sayang
264,td,tadi
265,tdk,tidak
266,tengsin,malu
267,thn,tahun
268,tik,cantik
269,tkt,takut
270,tp,tapi
271,tpii,tapi
272,trs,terus
273,trus,terus
274,ttg,tentang
275,ttp,tetap
276,tw,tau
277,typo,salah tulis
278,u,you
279,unyu,menggemaskan
280,with,dengan
281,woles,santai
282,wtf,apa-apaan
283,x,kali
284,y,ya
285,yg,yang
0,7an,tujuan
1,@,di
2,ababil,abg labil
3,abis,habis
4,acc,accord
5,ad,ada
6,adlah,adalah
7,adlh,adalah
8,adoh,aduh
9,afaik,as far as i know
10,aha,tertawa
11,ahaha,haha
12,aing,saya
13,aj,saja
14,aja,saja
15,ajep-ajep,dunia gemerlap
16,ajj,saja
17,ak,saya
18,aka,dikenal juga sebagai
19,akika,aku
20,akko,aku
21,akkoh,aku
22,akku,aku
23,akuwh,aku
24,akyu,aku
25,alay,norak
26,aljasa,asal jadi saja
27,alow,halo
28,ama,sama
29,ambilin,ambilkan
30,ambl,ambil
31,ancur,hancur
32,anjir,anjing
33,anjrit,anjing
34,ank,anak
35,anter,antar
36,ap,apa
37,ap2,apa-apa
38,apaan,apa
39,apasih,apa sih
40,ape,apa
41,apes,sial
42,aplot,unggah
43,aps,apa
44,apva,apa
45,aq,saya
46,aqu,aku
47,aquwh,aku
48,asap,sesegera mungkin
49,asbun,asal bunyi
50,aseek,asyik
51,aseekk,asyik
52,asek,asyik
53,asekk,asyik
54,aseknya,asyiknya
55,asem,asam
56,asoy,asyik
57,aspal,asli tetapi palsu
58,astrojim,astagfirullahaladzim
59,astul,asal tulis
60,ath,kalau begitu
61,ato,atau
62,atuh,kalau begitu
63,au ah,tidak mau tahu
64,ava,avatar
65,awak,saya
66,aws,awas
67,ay,sayang
68,ayang,sayang
69,ayank,sayang
70,ayok,ayo
71,b4,sebelum
72,bacot,banyak bicara
73,bakalan,akan
74,bales,balas
75,bandes,bantuan desa
76,bangdes,pembangunan desa
77,bangedh,banget
78,bangkotan,tua
79,banpol,bantuan polisi
80,banpres,bantuan presiden
81,banpur,bantuan tempur
82,bansarkas,bantuan sarana kesehatan
83,basbang,basi
84,bazis,"badan amal, zakat, infak, dan sedekah"
85,bcanda,bercanda
86,bcoz,karena
87,bdg,bandung
88,beb,sayang
89,begajulan,nakal
90,bejibun,banyak
91,beliin,belikan
92,belom,belum
93,bencong,banci
94,bener,benar
95,bentar,sebentar
96,ber2,berdua
97,ber3,bertiga
98,berdikari,berdiri di atas kaki sendiri
99,beresin,membereskan
100,bet,banget
101,bete,bosan
102,beti,beda tipis
103,beud,banget
104,beut,banget
105,bg,abang
106,bgd,banget
107,bgmn,bagaimana
108,bgs,bagus
109,bgt,banget
110,bhubu,tidur
111,bijimane,bagaimana
112,bimbuluh,bimbingan dan penyuluhan
113,bintal,bimbingan mental
114,bisi,kalau-kalau
115,bkl,akan
116,bkn,bukan
117,bknnya,bukannya
118,bl,beli
119,blegug,bodoh
120,blg,bilang
121,blh,boleh
122,blm,belum
123,bln,bulan
124,bls,balas
125,blum,belum
126,bnchi,benci
127,bnci,benci
128,bngung,bingung
129,bnran,yang benar
130,bnyk,banyak
131,bodor,lucu
132,bohay,badan aduhai
133,bokap,ayah
134,bokep,video porno
135,boker,buang air besar
136,bokin,pacar
137,bokis,bohong
138,bole,boleh
139,boljug,boleh juga
140,bolot,bodoh
141,bonek,bocah nekat
142,bonyok,ayah ibu
143,boyeh,boleh
144,bpk,bapak
145,br,baru
146,brb,segera kembali
147,brg,bareng
148,brngkt,berangkat
149,bro,saudara laki-laki
150,brp,berapa
151,bru,baru
152,brur,saudara laki-laki
153,bs,bisa
154,bsa,bisa
155,bsen,bosan
156,bsk,besok
157,bt,bosan sekali
158,bt,buat
159,btw,ngomong-ngomong
160,bu_bu,tidur
161,buaya,tidak setia
162,bubarin,bubarkan
163,bubbu,tidur
164,buber,buka bersama
165,bubu,tidur
166,bujubune,luar biasa
167,bumil,ibu hamil
168,buser,buru sergap
169,bw,bawa
170,bwhn,bawahan
171,bwt,buat
172,byar,bayar
173,byk,banyak
174,byr,bayar
175,byrin,bayarkan
176,c8,chat
177,cabal,sabar
178,cabut,pergi
179,cadas,keren
180,caem,cakep
181,calo,makelar
182,cama-cama,sama-sama
183,can,belum
184,cangcut,celana dalam
185,capcus,pergi
186,cape,capek
187,caper,cari perhatian
188,caur,jelek
189,ce,cewek
190,cekak,tidak ada uang
191,cekal,cegah tangkal
192,cekidot,coba lihat
193,cemen,penakut
194,cemplungin,cemplungkan
195,cengengesan,tertawa
196,ceper,pendek
197,cepet,cepat
198,ceu,kakak perempuan
199,cew,cewek
200,cewe,cewek
201,chuyunk,sayang
202,cibuk,sibuk
203,cimeng,ganja
204,cin,cinta
205,cipika cipiki,cium pipi kanan cium pipi kiri
206,ciye,cie
207,ciyh,sih
208,ckck,ck
209,ckepp,cakep
210,ckp,cakep
211,ckp,cukup
212,clbk,cinta lama bersemi kembali
213,cmiiw,correct me if i'm wrong
214,cmpr,campur
215,cmpur,campur
216,cnenk,senang
217,cong,banci
218,congor,mulut
219,conlok,cinta lokasi
220,cow,cowok
221,cowwyy,maaf
222,coz,karena
223,cp,siapa
224,cpa,siapa
225,ngeri,seram
226,cpe,capek
227,cppa,siapa
228,cppe,capek
229,cr,cara
230,cucok,cocok
231,cuek,tidak acuh
232,cuex,cuek
233,cuman,Cuma
234,cumi,Cuma miscall
235,cungkring,kurus tinggi
236,cups,culun
237,cupu,culun
238,curanmor,pencurian kendaraan bermotor
239,curas,pencurian dengan kekerasan
240,curcol,curahan hati colongan
241,curhat,curahan hati
242,cwek,cewek
243,cwok,cowok
244,cyin,cinta
245,cz,karena
246,d,di
247,dagh,sudah
248,dah,deh
249,damang,sehat
250,dapet,dapat
251,dateng,datang
252,de,adik
253,dech,deh
254,dek,adik
255,deket,dekat
256,demen,suka
257,dengerin,dengarkan
258,deyh,deh
259,dg,dengan
260,dgn,dengan
261,dh,deh
262,diancurin,dihancurkan
263,digosipin,digosipkan
264,dimaafin,dimaafkan
265,dimana2,dimana-mana
266,dimintak,diminta
267,dimna,dimana
268,disono,di sana
269,diuber,dikejar
270,dket,dekat
271,dkit,sedikit
272,dkk,dan kawan-kawan
273,dl,dulu
274,dll,dan lain-lain
275,dlm,dalam
276,dlu,dulu
277,dmn,dimana
278,dngn,dengan
279,doang,saja
280,dodol,bodoh
281,doi,dia
282,doku,uang
283,don juan,playboy
284,dongs,dong
285,donlot,unduh
286,dpt,dapat
287,dr,dari
288,dri,dari
289,drmana,darimana
290,drmn,darimana
291,drpd,daripada
292,drtd,dari tadi
293,dsb,dan sebagainya
294,dst,dan seterusnya
295,dstu,disitu
296,dtg,datang
297,dugem,dunia gemerlap
298,duh,aduh
299,duit,uang
300,duren,durian
301,dy,dia
302,ed,edisi
303,edan,gila
304,egp,emang gue pikirin
305,eike,aku
306,eke,aku
307,elo,kamu
308,elu,kamu
309,emang,memang
310,emangnya,memangnya
311,emg,memang
312,emng,memang
313,emte,makan teman
314,endak,tidak
315,engga,tidak
316,enggak,tidak
317,entar,nanti
318,envy,iri
319,etc,et cetera
320,ex,mantan
321,ext,extension
322,fax,facsimile
323,fb,facebook
324,fifo,first in first out
325,finek,finansial ekonomi
326,folbek,follow back
327,fwd,diterukan
328,fyi,sebagai informasi
329,ga,tidak
330,gaada,tidak ada uang
331,gabisa,tidak bisa
332,gag,tidak
333,gahar,sangar
334,gaje,tidak jelas
335,gak,tidak
336,gak papa,tidak apa-apa
337,gamau,tidak mau
338,gan,juragan
339,gapapa,tidak apa-apa
340,gaptek,gagap teknologi
341,gatau,tidak tahu
342,gatek,gagap teknologi
343,gatot,gagal total
344,gawe,kerja
345,gax,tidak
346,gbs,tidak bisa
347,gda,tidak ada uang
348,gebetan,orang yang disuka
349,geer,gede rasa
350,geje,tidak jelas
351,gelo,gila
352,gepeng,gelandangan dan pengemis
353,ghiey,lagi
354,ghiy,lagi
355,gi,lagi
356,gile,gila
357,giman,gigi mancung
358,gimana,bagaimana
359,gini,begini
360,gino,gigi nongol
361,gitchu,gitu
362,githu,gitu
363,gitu,begitu
364,gj,tidak jelas
365,gk,tidak
366,gmana,bagaimana
367,gmn,bagaimana
368,gn,begini
369,goblog,goblok
370,goblok,bodoh
371,good,bagus
372,gokil,gila
373,golput,golongan putih
374,gombal,suka merayu
375,gowes,mengayuh sepeda
376,gpl,tidak pakai lama
377,gpny,tidak punya
378,gpp,tidak apa-apa
379,gr,gede rasa
380,gretong,gratis
381,gretongan,gratisan
382,gt,begitu
383,gtau,tidak tahu
384,gtw,tidak tahu
385,gua,saya
386,gue,saya
387,guoblok,goblok
388,guys,teman-teman
389,gw,saya
390,gws,cepat sembuh
391,ha,tertawa
392,haghaghag,tertawa
393,haha,tertawa
394,hakhak,tertawa
395,hallow,halo
396,handak,bahan peledak
397,hankam,pertahanan dan keamanan
398,hansip,pertahanan sipil
399,hehe,he
400,hellow,halo
401,helo,halo
402,helow,halo
403,hey,hai
404,hi,hai
405,hlm,halaman
406,hlng,hilang
407,hny,hanya
408,hnya,hanya
409,hoax,isu bohong
410,houm,rumah
411,hr,hari
412,hrs,harus
413,hrus,harus
414,hubad,hubungan angkatan darat
415,hubdar,perhubungan darat
416,hubla,perhubungan laut
417,huff,mengeluh
418,huft,mengeluh
419,hum,rumah
420,humas,hubungan masyarakat
421,humz,rumah
422,idk,saya tidak tahu
423,ilang,hilang
424,ilfeel,tidak suka
425,ilfil,tidak suka
426,imba,jago sekali
427,imho,in my humble opinion
428,imoet,imut
429,imoetz,imut
430,info,informasi
431,item,hitam
432,itung,hitung
433,itungan,hitungan
434,isengin,bercanda
435,iy,iya
436,iyala,iya lah
437,iye,iya
438,iyo,iya
439,ja,saja
440,jablay,jarang dibelai
441,jadiin,jadikan
442,jadul,jaman dulu
443,jaim,jaga image
444,jancuk,anjing
445,jayus,tidak lucu
446,jd,jadi
447,jdi,jadi
448,jdikan,jadikan
449,jem,jam
450,jg,juga
451,jga,juga
452,jgn,jangan
453,jgnkan,jangankan
454,jijay,jijik
455,jir,anjing
456,jkt,jakarta
457,jln,jalan
458,jnj,janji
459,jomblo,tidak punya pacar
460,jth,jatuh
461,jubir,juru bicara
462,jurdil,jujur adil
463,jutek,galak
464,jwb,jawab
465,k,ke
466,ka,kakak
467,kab,kabupaten
468,kabag,kepala bagian
469,kabor,kabur
470,kacian,kasihan
471,kacrut,kacau
472,kadit,kepala direktorat
473,kadiv,kepala divisi
474,kaga,tidak
475,kagak,tidak
476,kaka,kakak
477,kalo,kalau
478,kalo,kalau
479,kampret,sialan
480,kamtib,keamanan dan ketertiban
481,kamtibmas,keamanan dan ketertiban masyarakat
482,kamuh,kamu
483,kamuwh,kamu
484,kamyu,kamu
485,kanwil,kantor wilayah
486,kapt,kapten
487,karna,karena
488,kasat,kepala satuan
489,kasubbag,kepala subbagian
490,kasubbid,kepala subbidang
491,katrok,kampungan
492,kau,kamu
493,kayanya,kayaknya
494,kbar,kabar
495,kbr,kabar
496,kcian,kasihan
497,kdu,harus
498,keburu,terlanjur
499,kec,kecamatan
500,kedubes,kedutaan besar
501,kejurnas,kejuaraan nasional
502,kek,seperti
503,kekeuh,keras kepala
504,keknya,kayaknya
505,kel,kelurahan
506,keliatan,kelihatan
507,kemaren,kemarin
508,keneh,masih
509,kepengen,mau
510,kepikiran,terpikirkan
511,kepingin,mau
512,kepo,mau tahu urusan orang
513,kepsek,kepala sekolah
514,kere,tidak punya uang
515,kesbang,kesatuan bangsa
516,kesian,kasihan
517,kesra,kesejahteraan rakyat
518,ketauan,ketahuan
519,ketrima,diterima
520,keukeuh,keras kepala
521,kgiatan,kegiatan
522,khan,kan
523,kibul,bohong
524,kibus,kaki busuk
525,kimpoi,kawin
526,kk,kakak
527,kl,kalau
528,klian,kalian
529,klianz,kalian
530,klo,kalau
531,kloter,kelompok terbang
532,kluarga,keluarga
533,klw,kalau
534,klwrga,keluarga
535,km,kamu
536,kmari,kemari
537,kmps,kampus
538,kmpus,kampus
539,kmrn,kemarin
540,kn,kan
541,knal,kenal
542,knl,kenal
543,knp,kenapa
544,knpa,kenapa
545,kodya,kota madya
546,kog,kok
547,komdis,komisi disiplin
548,kompi,komputer
549,komsov,komunis sovyet
550,komtiong,komunis Tiongkok
551,kongkow,kumpul bareng teman-teman
552,konjen,konsulat jenderal
553,kopdar,kopi darat
554,koq,kok
555,korup,korupsi
556,kpd,kepada
557,kpn,kapan
558,kptsan,keputusan
559,krenz,keren
560,krik,garing
561,krm,kirim
562,krn,karena
563,kt,kita
564,ktauan,ketahuan
565,ktmu,ketemu
566,ktny,katanya
567,ktr,kantor
568,kudu,harus
569,kuper,kurang pergaulan
570,kuq,kok
571,kw,imitasi
572,ky,seperti
573,kyk,seperti
574,kykny,kayanya
575,la,lah
576,laka,kecelakaan
577,lam,salam
578,lambreta,lambat
579,lamp,lampiran
580,lansia,lanjut usia
581,lanud,landasan udara
582,lapas,lembaga pemasyarakatan
583,latgab,latihan gabungan
584,lbur,libur
585,lebay,berlebihan
586,leh,boleh
587,leh,boleh
588,lekong,laki-laki
589,lelet,lambat
590,lemot,lambat berfikir
591,lemot,lemah otak
592,lg,lagi
593,lgi,lagi
594,lgkp,lengkap
595,lgsg,langsung
596,lht,lihat
597,liat,lihat
598,linmas,perlindungan masyarakat
599,litbang,penelitian dan pengembangan
600,lmyan,lumayan
601,lmyn,lumayan
602,lngkp,lengkap
603,lo,kamu
604,loch,loh
605,loe,kamu
606,lol,tertawa
607,lola,lambat berfikir
608,lom,belum
609,louph,cinta
610,loupz,cinta
611,low,kalau
612,lowh,kamu
613,lp,lupa
614,lu,kamu
615,luber,"langsung, umum, bebas, dan rahasia"
616,luchu,lucu
617,luchuw,lucu
618,luff,cinta
619,lum,belum
620,luph,cinta
621,luthu,lucu
622,lw,kamu
623,lwn,lawan
624,lwt,lewat
625,maacih,terima kasih
626,maaciw,terima kasih
627,mabal,bolos
628,mabes,markas besar
629,macem,macam
630,macem-macem,macam-macam
631,macih,masih
632,madesu,masa depan suram
633,maem,makan
634,maen,main
635,magabut,makan gaji buta
636,mahatma,maju sehat bersama
637,maho,homo
638,mak,ibu
639,mak jang,kaget
640,makasih,terima kasih
641,maksain,memaksa
642,malah,bahkan
643,malem,malam
644,malu2in,memalukan
645,mam,makan
646,mamz,makan
647,maneh,kamu
648,manies,manis
649,maniez,manis
650,mantep,mantap
651,mao,mau
652,markus,makelar kasus
653,masukin,masukkan
654,mba,mbak
655,melu,ikut
656,mending,lebih baik
657,mepet,dekat sekali
658,mgkn,mungkin
659,mgu,minggu
660,mhn,mohon
661,migas,minyak dan gas bumi
662,miker,minuman keras
663,mikol,minuman beralkohol
664,milis,mailing list
665,miras,minuman keras
666,mksd,maksud
667,mlah,malah
668,mls,malas
669,mngkn,mungkin
670,mnt,minta
671,mo,mau
672,moge,motor gede
673,mokad,mati
674,mokat,mati
675,moso,masa
676,mosok,masa
677,mpe,sampai
678,msh,masih
679,msk,masuk
680,mskpn,meskipun
681,mslh,masalah
682,msng2,masing-masing
683,mt,makan teman
684,muahal,mahal
685,mubes,musyawarah besar
686,muker,musyawarah kerja
687,mulu,melulu
688,mumet,pusing
689,mumpung,selagi
690,muna,munafik
691,munas,musyawarah nasional
692,munaslub,musyawarah nasional luar biasa
693,muntaber,muntah dan berak
694,musda,musyawarah daerah
695,musti,mesti
696,muup,maaf
697,muupz,maaf
698,muuv,maaf
699,mw,mau
700,mw,now watching
701,n,dan
702,nal,kenal
703,nanam,menanam
704,nangis,menangis
705,nanya,bertanya
706,naon,apa
707,napa,kenapa
708,napa,kenapa
709,napi,narapidana
710,napol,narapidana politik
711,napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
712,naq,anak
713,narkoba,"narkotika, psikotropika, dan obat terlarang"
714,narsis,bangga pada diri sendiri
715,nasgor,nasi goreng
716,nax,anak
717,nda,tidak
718,ndak,tidak
719,ndiri,sendiri
720,ndut,gendut
721,ne,ini
722,nekolim,neokolonialisme
723,nekolin,neokolonialisme
724,nelfon,menelepon
725,nembak,menyatakan cinta
726,ngabis2in,menghabiskan
727,ngabuburit,menunggu berbuka puasa
728,ngakak,tertawa
729,ngaku,mengaku
730,ngambek,marah
731,ngambil,mengambil
732,ngampus,pergi ke kampus
733,nganggur,tidak punya pekerjaan
734,ngantri,mengantri
735,ngapah,kenapa
736,ngapain,sedang apa
737,ngaret,terlambat
738,ngaruh,berpengaruh
739,ngasih,memberikan
740,ngawur,berbicara sembarangan
741,ngebandel,berbuat bandel
742,ngeceng,kumpul bareng-bareng
743,ngegosip,bergosip
744,ngeh,sadar
745,ngeklaim,mengklaim
746,ngekos,tinggal di kos
747,ngeksis,menjadi eksis
748,ngelamar,melamar
749,ngeles,berkilah
750,ngeliat,melihat
751,ngelidur,menggigau
752,ngemeng,bicara terus-terusan
753,ngerampok,merampok
754,ngerti,mengerti
755,ngga,tidak
756,nggak,tidak
757,ngibul,berbohong
758,ngikut,ikut
759,ngiler,mau
760,nginep,menginap
761,ngiri,iri
762,ngisi,mengisi
763,ngisiin,mengisikan
764,ngmg,bicara
765,ngmng,bicara
766,ngocol,lucu
767,ngomong,bicara
768,ngomongin,membicarakan
769,ngubek2,mencari-cari
770,ngumpul,berkumpul
771,ngurus,mengurus
772,ni,ini
773,nice,bagus
774,nie,ini
775,niech,nih
776,nih,ini
777,nimbrung,ikut serta
778,niyh,nih
779,nkah,nikah
780,nmr,nomor
781,nnti,nanti
782,nntn,nonton
783,no,nomor
784,nobar,nonton bareng
785,nongkrong,kumpul-kumpul
786,np,now playing
787,nrp,narapidana
788,ntar,nanti
789,ntar,sebentar
790,ntn,nonton
791,nuhun,terima kasih
792,numpuk,bertumpuk
793,nunggu,menunggu
794,nutupin,menutupi
795,nyampah,membuat sampah
796,nyasar,tersesat
797,nyari,mencari
798,nyariin,mencari
799,nyekar,menyekar
800,nyiapin,mempersiapkan
801,nyicil,mencicil
802,nyiram,menyiram
803,nyoblos,mencoblos
804,nyok,ayo
805,nyokap,ibu
806,o/,oleh
807,ogah,tidak mau
808,ok,ok
809,okt,oktober
810,ol,online
811,omdo,omong doang
812,ongkir,ongkos kirim
813,oon,bodoh
814,oot,out of topic
815,org,orang
816,org2,orang-orang
817,orkes,olahraga dan kesehatan
818,ortu,orang tua
819,ospek,orientasi studi dan pengenalan kampus
820,otda,otonomi daerah
821,otre,ok
822,otw,"on the way, sedang di jalan"
823,pa,apa
824,pacal,pacar
825,pahe,paket hemat
826,pake,pakai
827,pakek,pakai
828,pala,kepala
829,panja,panitia kerja
830,pansus,panitia khusus
831,pantura,pantai utara
832,parpol,partai politik
833,pas2an,pas-pasan
834,pasutri,pasangan suami istri
835,patas,cepat dan terbatas
836,pd,pada
837,pdhl,padahal
838,pede,percaya diri
839,pelatda,pemusatan latihan daerah
840,pelatnas,pemusatan latihan nasional
841,pembokat,pembantu
842,pemda,pemerintah daerah
843,pemilu,pemilihan umum
844,pemkot,pemerintah kota
845,pemprov,pemerintah provinsi
846,pemred,pemimpin redaksi
847,pengen,ingin
848,penjas,pendidikan jasmani
849,penmas,pendidikan masyarakat
850,perda,peraturan daerah
851,perek,wanita tuna susila
852,perhatiin,perhatikan
853,pertamax,pertama
854,pesenan,pesanan
855,pesenin,pesankan
856,pgang,pegang
857,pgi,pergi
858,pi,tapi
859,pijetin,pijitkan
860,pilkada,pemilihan kepala daerah
861,pimpro,pemimpin proyek
862,pisan,sangat
863,pisgor,pisang goreng
864,pk,penjahat kelamin
865,pke,pakai
866,plg,paling
867,pm,private message
868,pmrnth,pemerintah
869,pny,punya
870,polantas,polisi lalu lintas
871,polwan,polisi wanita
872,ponpes,pondok pesantren
873,ponsel,telepon seluler
874,pp,pulang pergi
875,ppa,apa
876,prg,pergi
877,prikitiw,cie
878,priksa,periksa
879,prnh,pernah
880,pro,profesional
881,psen,pesan
882,psn,pesan
883,pst,pasti
884,psti,pasti
885,pswt,pesawat
886,puanas,panas
887,pw,posisi nyaman
888,qmo,kamu
889,qmu,kamu
890,qt,kita
891,rakor,rapat koordinasi
892,rame,ramai
893,ranmor,kendaraan bermotor
894,raskin,rakyat miskin
895,re,reply
896,red,redaksi
897,ref,referensi
898,reg,register
899,rehab,rehabilitasi
900,rejeki,rezeki
901,rempong,sulit
902,renstra,rencana strategis
903,repp,balas
904,reskrim,reserse kriminal
905,krim,kirim
906,restik,reserse narkotika
907,rhs,Rahasia
908,rhs,rahasia
909,rmbt,rambut
910,rmh,rumah
911,rofl,rolling on the floor laughing
912,ru,baru
913,rudal,peluru kendali
914,ruko,rumah toko
915,rusun,rumah susun
916,rusunawa,rumah susun sewa
917,rutan,rumah tahanan
918,ruz,terus
919,s4,sempat
920,saia,saya
921,saiank,sayang
922,salting,salah tingkah
923,saltum,salah kostum
924,sampe,sampai
925,sampeyan,anda
926,samsek,sama sekali
927,sapa,siapa
928,sapose,siapa
929,satkorlak,satuan koordinator pelaksana
930,satpam,satuan pengamanan
931,say,sayang
932,sbb,sebagai berikut
933,sbg,sebagai
934,sbh,sebuah
935,sblm,sebelum
936,sbnrny,sebenarnya
937,scara,secara
938,scr,secara
939,sdg,sedang
940,sdgkn,sedangkan
941,sdh,sudah
942,sdkt,sedikit
943,sdngkn,sedangkan
944,se7,setuju
945,seabrek,banyak
946,sebelas dua belas,mirip
947,sekjen,sekretaris jenderal
948,sembako,sembilan bahan pokok
949,sempak,celana dalam
950,sempet,sempat
951,sempet2nya,sempat-sempatnya
952,sendratari,seni drama tari
953,sertijab,serah terima jabatan
954,sgt,sangat
955,sgtunya,segitunya
956,shg,sehingga
957,sidak,inspeksi mendadak
958,siech,sih
959,sieyh,sih
960,sikon,situasi dan kondisi
961,simpedes,simpanan pedesaan
962,sinetron,sinema elektronik
963,sip,ok
964,siramin,siramkan
965,sis,kakak perempuan
966,sj,saja
967,skali,sekali
968,skalian,sekalian
969,skl,sekali
970,sklh,sekolah
971,skrg,sekarang
972,skt,sakit
973,skul,sekolah
974,slesai,selesai
975,slh,salah
976,sll,selalu
977,slm,salam
978,slma,selama
979,slmt,selamat
980,slsai,selesai
981,slt,sulit
982,smpt,sempat
983,smua,semua
984,smw,semua
985,smwny,semuanya
986,sndiri,sendiri
987,sng,senang
988,sni,sini
989,soljum,sholat jumat
990,somse,sombong sekali
991,songong,sombong
992,sorry,maaf
993,sory,maaf
994,sosbud,sosial-budaya
995,sosek,sosial-ekonomi
996,sospol,sosial-politik
